2015-07-17 01:42:24,919 |main                 |ComponentContainer            |I| Loading component : [entity]
2015-07-17 01:42:24,944 |main                 |ComponentContainer            |I| Loading component : [security]
2015-07-17 01:42:24,982 |main                 |ComponentContainer            |I| Loading component : [datafile]
2015-07-17 01:42:25,002 |main                 |ComponentContainer            |I| Loading component : [minilang]
2015-07-17 01:42:25,038 |main                 |ComponentContainer            |I| Loading component : [common]
2015-07-17 01:42:25,069 |main                 |ComponentContainer            |I| Loading component : [service]
2015-07-17 01:42:25,130 |main                 |ComponentContainer            |I| Loading component : [catalina]
2015-07-17 01:42:25,149 |main                 |ComponentContainer            |I| Loading component : [entityext]
2015-07-17 01:42:25,167 |main                 |ComponentContainer            |I| Loading component : [bi]
2015-07-17 01:42:25,183 |main                 |ComponentContainer            |I| Loading component : [webapp]
2015-07-17 01:42:25,203 |main                 |ComponentContainer            |I| Loading component : [widget]
2015-07-17 01:42:25,223 |main                 |ComponentContainer            |I| Loading component : [testtools]
2015-07-17 01:42:25,242 |main                 |ComponentContainer            |I| Loading component : [webtools]
2015-07-17 01:42:25,262 |main                 |ComponentContainer            |I| Loading component : [images]
2015-07-17 01:42:25,262 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/themes]
2015-07-17 01:42:25,276 |main                 |ComponentContainer            |I| Loading component : [easyofbiztheme]
2015-07-17 01:42:25,290 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2015-07-17 01:42:25,305 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2015-07-17 01:42:25,305 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/applications]
2015-07-17 01:42:25,328 |main                 |ComponentContainer            |I| Loading component : [party]
2015-07-17 01:42:25,346 |main                 |ComponentContainer            |I| Loading component : [securityext]
2015-07-17 01:42:25,373 |main                 |ComponentContainer            |I| Loading component : [content]
2015-07-17 01:42:25,390 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2015-07-17 01:42:25,413 |main                 |ComponentContainer            |I| Loading component : [product]
2015-07-17 01:42:25,428 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2015-07-17 01:42:25,456 |main                 |ComponentContainer            |I| Loading component : [accounting]
2015-07-17 01:42:25,474 |main                 |ComponentContainer            |I| Loading component : [humanres]
2015-07-17 01:42:25,491 |main                 |ComponentContainer            |I| Loading component : [order]
2015-07-17 01:42:25,505 |main                 |ComponentContainer            |I| Loading component : [marketing]
2015-07-17 01:42:25,518 |main                 |ComponentContainer            |I| Loading component : [commonext]
2015-07-17 01:42:25,519 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/specialpurpose]
2015-07-17 01:42:25,534 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2015-07-17 01:42:25,535 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/hot-deploy]
2015-07-17 01:42:25,548 |main                 |ComponentContainer            |I| Loading component : [association]
2015-07-17 01:42:25,565 |main                 |ComponentContainer            |I| Loading component : [easyofbiz]
2015-07-17 01:42:25,581 |main                 |ComponentContainer            |I| Loading component : [elpi]
2015-07-17 01:42:25,594 |main                 |ComponentContainer            |I| Loading component : [frontend]
