2015-07-17 01:08:17,497 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: ecommerce
2015-07-17 01:08:17,497 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: ecommerce
2015-07-17 01:08:17,497 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: ecommerce
2015-07-17 01:08:17,503 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: elpi
2015-07-17 01:08:17,503 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: elpi
2015-07-17 01:08:17,509 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: elpi
2015-07-17 01:08:17,509 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: elpi
2015-07-17 01:08:17,517 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: association
2015-07-17 01:08:17,517 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: association
2015-07-17 01:08:17,523 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: webtools
2015-07-17 01:08:17,523 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: webtools
2015-07-17 01:08:17,529 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: ical
2015-07-17 01:08:17,529 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: ical
2015-07-17 01:08:17,533 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: customer
2015-07-17 01:08:17,533 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: customer
2015-07-17 01:08:17,537 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: supplier
2015-07-17 01:08:17,537 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: supplier
2015-07-17 01:08:17,539 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: purchase-order
2015-07-17 01:08:17,539 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: purchase-order
