2015-07-17 00:00:23,255 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.002s, 112 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2015-07-17 00:00:23,262 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.001s, 39 requests, 19 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/common-controller.xml
2015-07-17 00:00:23,266 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/handlers-controller.xml
2015-07-17 00:00:23,270 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/portal-controller.xml
2015-07-17 00:00:23,275 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/security-controller.xml
2015-07-17 00:00:23,278 |0.0.0.0-8443-exec-20 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/gildas/Outils/Elpi/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2015-07-17 00:00:23,286 |0.0.0.0-8443-exec-20 |RequestHandler                |I| Rendering View [runService], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:00:23,360 |0.0.0.0-8443-exec-20 |ScreenFactory                 |I| Got 9 screens in 0.003s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/ServiceScreens.xml
2015-07-17 00:00:23,385 |0.0.0.0-8443-exec-20 |ScreenFactory                 |I| Got 11 screens in 0.004s from: file:/home/gildas/Outils/Elpi/framework/webtools/widget/CommonScreens.xml
2015-07-17 00:00:23,391 |0.0.0.0-8443-exec-20 |ScreenFactory                 |I| Got 27 screens in 0.006s from: file:/home/gildas/Outils/Elpi/framework/common/widget/CommonScreens.xml
2015-07-17 00:00:23,403 |0.0.0.0-8443-exec-20 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [11] milliseconds
2015-07-17 00:00:23,475 |0.0.0.0-8443-exec-20 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:00:23,489 |0.0.0.0-8443-exec-20 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [14] milliseconds
2015-07-17 00:00:23,594 |0.0.0.0-8443-exec-20 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:00:23,601 |0.0.0.0-8443-exec-20 |ControlServlet                |T| [[[runService(Domain:https://localhost)] Request Done- total:0.353,since last([runService(Domai...):0.353]]
2015-07-17 00:00:25,511 |0.0.0.0-8443-exec-20 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/setSyncServiceParameters
2015-07-17 00:00:25,511 |0.0.0.0-8443-exec-20 |ControlServlet                |T| [[[setSyncServiceParameters(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2015-07-17 00:00:25,522 |0.0.0.0-8443-exec-20 |RequestHandler                |I| Rendering View [setSyncServiceParameters], sessionId=EB42CA54DEBCBABE64082DA39DC8E22B.jvm1
2015-07-17 00:00:25,524 |0.0.0.0-8443-exec-20 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2015-07-17 00:00:25,534 |0.0.0.0-8443-exec-20 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [3] milliseconds
2015-07-17 00:00:25,577 |0.0.0.0-8443-exec-20 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2015-07-17 00:00:25,581 |0.0.0.0-8443-exec-20 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [4] milliseconds
2015-07-17 00:00:25,650 |0.0.0.0-8443-exec-20 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 00:00:25,657 |0.0.0.0-8443-exec-20 |ControlServlet                |T| [[[setSyncServiceParameters(Domain:https://localhost)] Request Done- total:0.146,since last([setSyncServicePa...):0.146]]
2015-07-17 00:00:44,445 |0.0.0.0-8443-exec-20 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/entitymaint
