2015-07-19 09:28:36,726 |main                 |GenericDelegator              |W| [IndexNameGT18] The index name PROD_FEATURE_CAT_DESC (length:21) was greater than 18 characters in length for entity ProductFeatureCategory.
2015-07-19 09:28:36,726 |main                 |GenericDelegator              |W| [FieldNameGT30] Column name [PRODUCT_OFFER_ADJUSTMENT_TYPE_ID] of entity ProductOfferAdjustment is longer than 30 characters.
2015-07-19 09:28:36,726 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODOFFER (length:24) was greater than 18 characters in length for relation ProductOffer of entity ProductProductOffer.
2015-07-19 09:28:36,726 |main                 |GenericDelegator              |W| [RelFKNameGT18] The foreign key named PROD_PRODOFFER_PRODUCT (length:22) was greater than 18 characters in length for relation Product of entity ProductProductOffer.
2015-07-19 09:28:36,734 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localpostolap" for entity group "org.ofbiz.olap".
2015-07-19 09:28:36,740 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-19 09:28:36,744 |OFBiz-config-1       |GenericDelegator              |I| Delegator "default" initializing helper "localposttenant" for entity group "org.ofbiz.tenant".
2015-07-19 09:28:36,749 |OFBiz-config-2       |GenericDelegator              |I| Delegator "default" initializing helper "localpostnew" for entity group "org.ofbiz".
2015-07-19 09:28:36,750 |OFBiz-config-2       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-19 09:28:36,751 |OFBiz-config-1       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2015-07-19 09:28:36,994 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-19 09:28:36,995 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-19 09:28:36,995 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-19 09:28:36,995 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-19 09:28:36,995 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-19 09:28:36,995 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-19 09:28:36,995 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-19 09:28:36,995 |OFBiz-config-1       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-19 09:28:36,995 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-19 09:28:36,995 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-19 09:28:36,995 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-19 09:28:36,995 |OFBiz-config-0       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-19 09:28:36,995 |OFBiz-config-1       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-19 09:28:36,995 |OFBiz-config-0       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-19 09:28:36,996 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-19 09:28:36,996 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-19 09:28:36,996 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-19 09:28:36,996 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-19 09:28:36,996 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-19 09:28:36,996 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-19 09:28:36,996 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-19 09:28:36,996 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-19 09:28:36,996 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-19 09:28:36,996 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation Serializable    [true]
2015-07-19 09:28:36,996 |OFBiz-config-1       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-19 09:28:36,997 |OFBiz-config-0       |DatabaseUtil                  |I| - forward only type         [true]
2015-07-19 09:28:36,997 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-19 09:28:36,997 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2015-07-19 09:28:36,997 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-19 09:28:36,997 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2015-07-19 09:28:36,997 |OFBiz-config-1       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-19 09:28:36,997 |OFBiz-config-0       |DatabaseUtil                  |I| - is case sensitive         [false]
2015-07-19 09:28:36,997 |OFBiz-config-1       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-19 09:28:36,997 |OFBiz-config-0       |DatabaseUtil                  |I| - stores LowerCase          [true]
2015-07-19 09:28:36,997 |OFBiz-config-1       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-19 09:28:36,997 |OFBiz-config-0       |DatabaseUtil                  |I| - stores MixedCase          [false]
2015-07-19 09:28:36,997 |OFBiz-config-1       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-19 09:28:36,998 |OFBiz-config-0       |DatabaseUtil                  |I| - stores UpperCase          [false]
2015-07-19 09:28:36,998 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2015-07-19 09:28:36,998 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Version is 9.3.9
2015-07-19 09:28:36,998 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2015-07-19 09:28:36,998 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 9.0 JDBC4 (build 801)
2015-07-19 09:28:36,998 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2015-07-19 09:28:36,998 |OFBiz-config-2       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2015-07-19 09:28:36,998 |OFBiz-config-2       |DatabaseUtil                  |I| - supports transactions     [true]*
2015-07-19 09:28:36,999 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation None            [false]
2015-07-19 09:28:37,000 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2015-07-19 09:28:37,000 |OFBiz-config-1       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-19 09:28:37,000 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2015-07-19 09:28:37,001 |OFBiz-config-1       |DatabaseUtil                  |I| - max column name length    [63]
2015-07-19 09:28:37,001 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent connections    [8192]
2015-07-19 09:28:37,001 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent statements     [0]
2015-07-19 09:28:37,001 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2015-07-19 09:28:37,001 |OFBiz-config-0       |DatabaseUtil                  |I| - max table name length     [63]
2015-07-19 09:28:37,001 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2015-07-19 09:28:37,002 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2015-07-19 09:28:37,002 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2015-07-19 09:28:37,002 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2015-07-19 09:28:37,002 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2015-07-19 09:28:37,003 |OFBiz-config-0       |DatabaseUtil                  |I| - max column name length    [63]
2015-07-19 09:28:37,003 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2015-07-19 09:28:37,003 |OFBiz-config-1       |DatabaseUtil                  |I| - outer joins               [true]*
